"Year","Rider","Rnk.Dauphine","Rnk.Tour","Rnk.TourDeSuisse"
2000,"Ackermann Pierre",NA,NA,81
2000,"Aebersold Niki",NA,NA,38
2000,"Aerts Mario",NA,28,42
2000,"Agnolutto Christophe",33,66,NA
2000,"Aldag Rolf",NA,NA,37
2000,"Andreu Frankie",NA,110,NA
2000,"Apollonio Massimo",NA,102,NA
2000,"Armstrong Lance",3,1,NA
2000,"Arrieta José Luis",NA,57,NA
2000,"Artunghi Marco",NA,NA,89
2000,"Atienza Daniel",NA,29,10
2000,"Baguet Serge",NA,121,73
2000,"Baranowski Dariusz",NA,30,NA
2000,"Bartoli Michele",NA,NA,17
2000,"Bassons Christophe",49,NA,NA
2000,"Belli Wladimir",NA,NA,3
2000,"Beloki Joseba",24,3,NA
2000,"Beltrán Manuel",NA,11,NA
2000,"Bessy Frédéric",23,NA,NA
2000,"Blijlevens Jeroen",NA,124,NA
2000,"Bolts Udo",NA,42,25
2000,"Boogerd Michael",NA,NA,8
2000,"Borgheresi Simone",NA,113,NA
2000,"Botcharov Alexandre",36,NA,NA
2000,"Botero Santiago",17,7,NA
2000,"Bourquenoud Pierre",NA,NA,46
2000,"Bouvard Gilles",48,NA,NA
2000,"Bouyer Franck",NA,122,NA
2000,"Brard Florent",42,NA,NA
2000,"Brasi Rossano",NA,NA,77
2000,"Brignoli Ermanno",NA,59,NA
2000,"Buxhofer Matthias",NA,NA,26
2000,"Bäckstedt Magnus",NA,123,NA
2000,"Bénéteau Walter",57,71,NA
2000,"Calcagni Patrick",NA,NA,74
2000,"Camenzind Oscar",NA,NA,1
2000,"Cattai Stefano",NA,NA,32
2000,"Cañada David",NA,33,NA
2000,"Chanteur Pascal",NA,69,NA
2000,"Charriere Christian",NA,NA,24
2000,"Cigana Massimo",NA,NA,15
2000,"Commesso Salvatore",NA,72,62
2000,"Conti Roberto",NA,16,NA
2000,"Contreras Humberto",31,NA,NA
2000,"Crepaldi Mirco",NA,94,88
2000,"Cuesta Iñigo",30,NA,NA
2000,"De Paoli Daniele",NA,NA,22
2000,"Dekker Erik",NA,51,NA
2000,"Dellavedova Marco ",NA,NA,44
2000,"Delrieu David",20,82,NA
2000,"Demarbaix Sebastien",16,88,NA
2000,"Derame Pascal",NA,111,NA
2000,"Di Grande Giuseppe",39,NA,NA
2000,"Donati Massimo",NA,NA,55
2000,"Durand Jacky",NA,74,NA
2000,"Ekimov Viatcheslav",NA,55,NA
2000,"Elli Alberto",NA,84,45
2000,"Escartín Fernando",NA,8,NA
2000,"Etxebarria David",29,NA,NA
2000,"Fagnini Gian Matteo",NA,104,NA
2000,"Farazijn Peter",NA,NA,67
2000,"Fernández Bingen",63,NA,NA
